year/_utc,image,name/_title,name,image/_source,image/_alt,year/_source,name/_text,name/_source,inducted_member
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Muddy_Waters_%28blues_musician%29-cropped.jpg/75px-Muddy_Waters_%28blues_musician%29-cropped.jpg,Muddy Waters,https://en.wikipedia.org/wiki/Muddy_Waters,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Muddy_Waters_%28blues_musician%29-cropped.jpg/75px-Muddy_Waters_%28blues_musician%29-cropped.jpg,"Muddy Waters at the opening of Peaches Records & Tapes in Rockville, Maryland (mid-1970s)",1987,Muddy Waters,/wiki/Muddy_Waters,
Thu Jan 01 00:00:00 GMT 1987,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Jackie_Wilson_1961.jpg/75px-Jackie_Wilson_1961.jpg,Jackie Wilson,https://en.wikipedia.org/wiki/Jackie_Wilson,//upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Jackie_Wilson_1961.jpg/75px-Jackie_Wilson_1961.jpg,Jackie Wilson 1961.jpg,1987,Jackie Wilson,/wiki/Jackie_Wilson,
Fri Jan 01 00:00:00 GMT 1988,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/The_Beach_Boys_%281965%29.png/75px-The_Beach_Boys_%281965%29.png,The Beach Boys,https://en.wikipedia.org/wiki/The_Beach_Boys,//upload.wikimedia.org/wikipedia/commons/thumb/a/a8/The_Beach_Boys_%281965%29.png/75px-The_Beach_Boys_%281965%29.png,The Beach Boys (1965).png,1988,The Beach Boys,/wiki/The_Beach_Boys,"Al Jardine, Mike Love, Brian Wilson, Carl Wilson, and Dennis Wilson. [12]"
Fri Jan 01 00:00:00 GMT 1988,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/The_Fabs.JPG/75px-The_Fabs.JPG,The Beatles,https://en.wikipedia.org/wiki/The_Beatles,//upload.wikimedia.org/wikipedia/commons/thumb/d/df/The_Fabs.JPG/75px-The_Fabs.JPG,"Top: Lennon, McCartney  Bottom: Harrison, Starr",1988,The Beatles,/wiki/The_Beatles,"George Harrison, John Lennon, Paul McCartney, and Ringo Starr. [13]"
Fri Jan 01 00:00:00 GMT 1988,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/The_Drifters.png/75px-The_Drifters.png,The Drifters,https://en.wikipedia.org/wiki/The_Drifters,//upload.wikimedia.org/wikipedia/commons/thumb/6/65/The_Drifters.png/75px-The_Drifters.png,The Drifters.png,1988,The Drifters,/wiki/The_Drifters,"Ben E. King, Rudy Lewis, Clyde McPhatter, Johnny Moore, Bill Pinkney, Charlie Thomas, and Gerhart Thrasher. [14]"
Fri Jan 01 00:00:00 GMT 1988,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Joan_Baez_Bob_Dylan_crop.jpg/75px-Joan_Baez_Bob_Dylan_crop.jpg,Bob Dylan,https://en.wikipedia.org/wiki/Bob_Dylan,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Joan_Baez_Bob_Dylan_crop.jpg/75px-Joan_Baez_Bob_Dylan_crop.jpg,"Dylan performing with Joan Baez during the civil rights ""March on Washington for Jobs and Freedom"", August 28, 1963",1988,Bob Dylan,/wiki/Bob_Dylan,
Fri Jan 01 00:00:00 GMT 1988,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/The_Supremes_1966.JPG/75px-The_Supremes_1966.JPG,The Supremes,https://en.wikipedia.org/wiki/The_Supremes,//upload.wikimedia.org/wikipedia/commons/thumb/c/c7/The_Supremes_1966.JPG/75px-The_Supremes_1966.JPG,The Supremes 1966.JPG,1988,The Supremes,/wiki/The_Supremes,"Florence Ballard, Diana Ross, and Mary Wilson. [15]"
Sun Jan 01 00:00:00 GMT 1989,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/DionDiMucci.jpg/75px-DionDiMucci.jpg,Dion DiMucci,https://en.wikipedia.org/wiki/Dion_DiMucci,//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/DionDiMucci.jpg/75px-DionDiMucci.jpg,Dion performing in New York,1989,Dion,/wiki/Dion_DiMucci,
Sun Jan 01 00:00:00 GMT 1989,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Otis_Redding_%282%29.png/75px-Otis_Redding_%282%29.png,Otis Redding,https://en.wikipedia.org/wiki/Otis_Redding,//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Otis_Redding_%282%29.png/75px-Otis_Redding_%282%29.png,Otis Redding in January 1967,1989,Otis Redding,/wiki/Otis_Redding,
Sun Jan 01 00:00:00 GMT 1989,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Stones_members_montage2.jpg/75px-Stones_members_montage2.jpg,The Rolling Stones,https://en.wikipedia.org/wiki/The_Rolling_Stones,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Stones_members_montage2.jpg/75px-Stones_members_montage2.jpg,"Mick Jagger, Keith RichardsRonnie Wood, Charlie Watts",1989,The Rolling Stones,/wiki/The_Rolling_Stones,"Mick Jagger, Brian Jones, Keith Richards, Ian Stewart, Mick Taylor, Charlie Watts, Ronnie Wood and Bill Wyman. [16]"
Sun Jan 01 00:00:00 GMT 1989,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/The_Temptations_on_the_Ed_Sullivan_Show.JPG/75px-The_Temptations_on_the_Ed_Sullivan_Show.JPG,The Temptations,https://en.wikipedia.org/wiki/The_Temptations,//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/The_Temptations_on_the_Ed_Sullivan_Show.JPG/75px-The_Temptations_on_the_Ed_Sullivan_Show.JPG,The Temptations on the Ed Sullivan Show.JPG,1989,The Temptations,/wiki/The_Temptations,"Melvin Franklin, Eddie Kendricks, David Ruffin, Otis Williams, Paul Williams, Dennis Edwards. [17]"
Sun Jan 01 00:00:00 GMT 1989,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Stevie_Wonder_1973.JPG/75px-Stevie_Wonder_1973.JPG,Stevie Wonder,https://en.wikipedia.org/wiki/Stevie_Wonder,//upload.wikimedia.org/wikipedia/commons/thumb/5/54/Stevie_Wonder_1973.JPG/75px-Stevie_Wonder_1973.JPG,"Wonder in a recording studio, 1973",1989,Stevie Wonder,/wiki/Stevie_Wonder,
